,,,,,,,,,
Exam 1,Question 11,Piaget attributed children's ability to engage in deferred imitation and make-believe play to:,D. the ability to create mental representations.,"EPPP-P1-LIF-Cognitive Development-090 Answer D is correct. Piaget attributed deferred imitation and make-believe play to the ability to create mental representations, which emerges during the final substage of the sensorimotor period at about 18 months of age. Note, however, that subsequent research found that children engage in deferred imitation and other behaviors that depend on mental representations prior to this age.",LIF,Cognitive Development,"Piaget attributed deferred imitation and make-believe play to the ability to create mental representations, which emerges during the final substage of the sensorimotor period at about 18 months of age. Note, however, that subsequent research found that children engage in deferred imitation and other behaviors that depend on mental representations prior to this age.",090,"Piaget attributed children's ability to engage in deferred imitation and make-believe play to the ability to create mental representations, which emerges during the final substage of the sensorimotor period at about 18 months of age."
Exam 1,Question 12,"In their Robbers Cave study, Sherif and his colleagues (1966) found that competition between two groups of boys for desired prizes produced a high degree of intergroup hostility. These results provide support for which of the following theories of prejudice and discrimination?",B. realistic conflict theory,"EPPP-P1-SOC-Prosocial Behavior and Prejudice/Discrimination-145 Answer B is correct. According to realistic conflict theory, prejudice and discrimination are the result of direct competition between groups for scarce and valued resources. Evidence for this theory is provided by Sherif's Robbers Cave study in which conflict between groups was generated by having two groups of boys who had strong attachments to members of their own group compete for desired prizes.",SOC,Prosocial Behavior and Prejudice/Discrimination,"According to realistic conflict theory, prejudice and discrimination are the result of direct competition between groups for scarce and valued resources. Evidence for this theory is provided by Sherif's Robbers Cave study in which conflict between groups was generated by having two groups of boys who had strong attachments to members of their own group compete for desired prizes.",145,"According to realistic conflict theory, prejudice and discrimination are the result of direct competition between groups for scarce and valued resources, as evidenced by Sherif's Robbers Cave study in which conflict between groups was generated by having two groups of boys who had strong attachments to members of their own group compete for desired prizes."
Exam 1,Question 13,"In Ainsworth's (Ainsworth et al., 1978) ""strange situation,"" an infant with an ____________ attachment pattern is indifferent to his/her mother and may act as though she's not present, shows little or no distress when she leaves, and ignores her when she returns. Mothers of children with this attachment pattern are often ____________.",A. avoidant; rejecting/unresponsive or intrusive/overstimulating,"EPPP-P1-LIF-Socioemotional Development - Attachment, Emotions, and Social Relationships-174 Answer A is correct. Ainsworth and her colleagues distinguished between two types of insecure attachment patterns: avoidant and ambivalent (which is also referred to as resistant). The infant behaviors described in this question are characteristic of children with the avoidant pattern, and parents of children with this pattern are often either rejecting and unresponsive or intrusive and overstimulating.",LIF,"Socioemotional Development - Attachment, Emotions, and Social Relationships","Ainsworth and her colleagues distinguished between two types of insecure attachment patterns: avoidant and ambivalent (which is also referred to as resistant). The infant behaviors described in this question are characteristic of children with the avoidant pattern, and parents of children with this pattern are often either rejecting and unresponsive or intrusive and overstimulating.",174,"Ainsworth and her colleagues distinguished between two types of insecure attachment patterns: avoidant and ambivalent, and parents of children with the avoidant pattern are often either rejecting and unresponsive or intrusive and overstimulating."
Exam 1,Question 14,"The adoption of ""colorism"" - or the association of a light skin tone with higher status and greater beauty - by some African Americans is an example of:",C. internalized racism.,"EPPP-P1-CLI-Cross-Cultural Issues - Terms and Concepts-209 Answer C is correct. Internalized racism is also known as internalized racial oppression and occurs when a person accepts society's negative beliefs and stereotypes related to his/her own racial group. Colorism (preferring a light skin tone and equating lighter skin with higher status and greater beauty) is a manifestation of internalized racism. See, e.g., M. Hunter, The persistent problem of colorism: Skin tone, status, and inequality, Sociology Compass, 1(1), 237-254, 2007.",CLI,Cross-Cultural Issues - Terms and Concepts,"Internalized racism is also known as internalized racial oppression and occurs when a person accepts society's negative beliefs and stereotypes related to his/her own racial group. Colorism (preferring a light skin tone and equating lighter skin with higher status and greater beauty) is a manifestation of internalized racism. See, e.g., M. Hunter, The persistent problem of colorism: Skin tone, status, and inequality, Sociology Compass, 1(1), 237-254, 2007.",209,"Internalized racism, also known as internalized racial oppression, occurs when a person accepts society's negative beliefs and stereotypes related to his/her own racial group, as exemplified by the adoption of ""colorism"" (preferring a light skin tone and equating lighter skin with higher status and greater beauty) by some African Americans."
Exam 1,Question 15,"When lithium has not reduced the symptoms of mania for an individual who has received a diagnosis of bipolar disorder, an alternative is:",B. carbamazepine.,EPPP-P1-PHY-Psychopharmacology - Other Psychoactive Drugs-207 Answer B is correct. Anticonvulsant drugs are often prescribed for individuals with bipolar disorder who have not responded to lithium or cannot tolerate its side effects. Carbamazepine is one of the anticonvulsant drugs that has been found useful for treating mania.,PHY,Psychopharmacology - Other Psychoactive Drugs,Anticonvulsant drugs are often prescribed for individuals with bipolar disorder who have not responded to lithium or cannot tolerate its side effects. Carbamazepine is one of the anticonvulsant drugs that has been found useful for treating mania.,207,"Anticonvulsant drugs, such as carbamazepine, are often prescribed for individuals with bipolar disorder who have not responded to lithium or cannot tolerate its side effects."
Exam 1,Question 16,"Ella took Spanish classes in her last two years of high school but decided to learn French in college instead of continuing with Spanish. She found that, even after studying French for two semesters, whenever she tried to recall the French equivalent for an English word, she'd recall the Spanish word instead. Ella's experience illustrates which of the following?",B. proactive interference,"EPPP-P1-LEA-Memory and Forgetting-136 Answer B is correct. Proactive interference occurs when prior learning (e.g., Spanish) interferes with the ability to learn or recall new information (e.g., French).",LEA,Memory and Forgetting,"Proactive interference occurs when prior learning (e.g., Spanish) interferes with the ability to learn or recall new information (e.g., French).",136,"Proactive interference occurs when prior learning (e.g., Spanish) interferes with the ability to learn or recall new information (e.g., French), as illustrated by Ella's experience."
Exam 1,Question 17,Which of the following is not one of the microaggressions identified by D. W. Sue et al. (2007)?,A. microinequity,"EPPP-P1-CLI-Cross-Cultural Issues - Terms and Concepts-215 Answer A is correct. As defined by D. W. Sue et al., microaggressions ""are brief and commonplace daily verbal, behavioral, or environmental indignities, whether intentional or unintentional, that communicate hostile, derogatory, or negative racial slights and insults toward people of color"" (Racial microaggressions in daily life: Implications for clinical practice, American Psychologist, 62(4), 271-286, 2007). Microassault, microinvalidation, and microinsult are the three types of microaggression identified by these investigators.",CLI,Cross-Cultural Issues - Terms and Concepts,"As defined by D. W. Sue et al., microaggressions ""are brief and commonplace daily verbal, behavioral, or environmental indignities, whether intentional or unintentional, that communicate hostile, derogatory, or negative racial slights and insults toward people of color"" (Racial microaggressions in daily life: Implications for clinical practice, American Psychologist, 62(4), 271-286, 2007). Microassault, microinvalidation, and microinsult are the three types of microaggression identified by these investigators.",215,"The three types of microaggressions identified by D. W. Sue et al. are microassault, microinvalidation, and microinsult, and ""microinequity"" is not one of the microaggressions they identified."
Exam 1,Question 18,"When a test has a standard deviation of 10, the test's standard error of measurement will fall between:",A. 0 and 10,"EPPP-P1-TES-Item Analysis and Test Reliability-049 Answer A is correct. A test's standard error of measurement equals its standard deviation times the square root of 1 minus the reliability coefficient. A test's reliability coefficient can range from 0 to 1.0, so the standard error of measurement for a test that has a standard deviation of 10 ranges from 0 when the reliability coefficient is 1.0 (10 times the square root of 1 minus 1 equals 0) to 10 when the reliability coefficient is 0 (10 times the square root of 1 minus 0 equals 10).",TES,Item Analysis and Test Reliability,"A test's standard error of measurement equals its standard deviation times the square root of 1 minus the reliability coefficient. A test's reliability coefficient can range from 0 to 1.0, so the standard error of measurement for a test that has a standard deviation of 10 ranges from 0 when the reliability coefficient is 1.0 (10 times the square root of 1 minus 1 equals 0) to 10 when the reliability coefficient is 0 (10 times the square root of 1 minus 0 equals 10).",049,The standard error of measurement for a test that has a standard deviation of 10 ranges from 0 when the reliability coefficient is 1.0 to 10 when the reliability coefficient is 0.
Exam 1,Question 19,Huntington's disease is a progressive autosomal dominant disorder that has been linked to GABA and glutamate abnormalities in the:,B. basal ganglia.,"EPPP-P1-PHY-Neurological and Endocrine Disorders-177 Answer B is correct. The basal ganglia are responsible for voluntary motor control, and the motor symptoms of Huntington's disease have been linked to GABA and glutamate abnormalities in the basal ganglia, especially the caudate nucleus and putamen.",PHY,Neurological and Endocrine Disorders,"The basal ganglia are responsible for voluntary motor control, and the motor symptoms of Huntington's disease have been linked to GABA and glutamate abnormalities in the basal ganglia, especially the caudate nucleus and putamen.",177,"The motor symptoms of Huntington's disease have been linked to GABA and glutamate abnormalities in the basal ganglia, especially the caudate nucleus and putamen."
Exam 1,Question 20,Which of the following is an example of negative reinforcement?,C. A woman who knows sweets aren't good for her continues to eat chocolate because chocolate reduces her anxiety.,"EPPP-P1-LEA-Operant Conditioning-042 Answer C is correct. Negative reinforcement occurs when a behavior continues or increases because performing the behavior results in the termination or withdrawal of a stimulus. In the situation described in this answer, the woman eats chocolate because doing so stops her anxiety.",LEA,Operant Conditioning,"Negative reinforcement occurs when a behavior continues or increases because performing the behavior results in the termination or withdrawal of a stimulus. In the situation described in this answer, the woman eats chocolate because doing so stops her anxiety.",042,"Negative reinforcement occurs when a behavior continues or increases because performing the behavior results in the termination or withdrawal of a stimulus, as exemplified by a woman who eats chocolate because it reduces her anxiety."
Exam 1,Question 21,The Bender-Gestalt II is a measure of visual-motor integration that's also used as a:,A. screening test for brain damage.,"EPPP-P1-PAS-Clinical Tests-109 Answer A is correct. Although the Bender-Gestalt II does not provide detailed information about the location or effects of brain damage, it's considered useful as a screening test for brain damage, especially right parietal lobe damage.",PAS,Clinical Tests,"Although the Bender-Gestalt II does not provide detailed information about the location or effects of brain damage, it's considered useful as a screening test for brain damage, especially right parietal lobe damage.",109,"The Bender-Gestalt II is a measure of visual-motor integration that's also used as a screening test for brain damage, especially right parietal lobe damage."
Exam 1,Question 22,"As described by Wallerstein and Blakeslee (1989), the ""sleeper effect"" occurs when:",A. girls who seem relatively unaffected by the divorce of their parents during childhood exhibit problems in late adolescence or early adulthood.,"EPPP-P1-LIF-School and Family Influences-204 Answer A is correct. Wallerstein and Blakeslee reported that many of the girls in their studies seemed to adjust well to the divorce of their parents during childhood but then developed emotional and behavioral problems in late adolescence and adulthood - e.g., they engaged in risky and self-destructive behaviors, became sexually promiscuous and involved in unsatisfactory relationships, and were excessively worried about betrayal and abandonment.",LIF,School and Family Influences,"Wallerstein and Blakeslee reported that many of the girls in their studies seemed to adjust well to the divorce of their parents during childhood but then developed emotional and behavioral problems in late adolescence and adulthood - e.g., they engaged in risky and self-destructive behaviors, became sexually promiscuous and involved in unsatisfactory relationships, and were excessively worried about betrayal and abandonment.",204,"Wallerstein and Blakeslee reported that many of the girls in their studies seemed to adjust well to the divorce of their parents during childhood but then developed emotional and behavioral problems in late adolescence and adulthood - e.g., they engaged in risky and self-destructive behaviors, became sexually promiscuous and involved in unsatisfactory relationships, and were excessively worried about betrayal and abandonment."
Exam 1,Question 23,"In response to the ""Heinz dilemma,"" some of Kohlberg's research subjects said it was wrong for Heinz to steal a drug to try to save his dying wife because Heinz would get caught and sent to jail. This response is characteristic of Kohlberg's __________ level of moral development.",B. preconventional,"EPPP-P1-LIF-Socioemotional Development - Moral Development-186 Answer B is correct. Kohlberg's theory of moral development distinguishes between three levels - preconventional, conventional, and postconventional - and each level includes two stages. Individuals in the first stage of the preconventional level (punishment and obedience orientation) base their judgments on the consequences of the act. A person in this stage would say that Heinz should not steal the drug because of the negative consequences of doing so.",LIF,Socioemotional Development - Moral Development,"Kohlberg's theory of moral development distinguishes between three levels - preconventional, conventional, and postconventional - and each level includes two stages. Individuals in the first stage of the preconventional level (punishment and obedience orientation) base their judgments on the consequences of the act. A person in this stage would say that Heinz should not steal the drug because of the negative consequences of doing so.",186,"Individuals in the first stage of Kohlberg's preconventional level of moral development base their judgments on the consequences of the act, and a person in this stage would say that Heinz should not steal the drug because of the negative consequences of doing so."
Exam 1,Question 24,Dr. Miller is hired by an insurance company to develop a performance appraisal measure for salespeople. She's most likely to recommend that the company use a relative measure (as opposed to a Likert-type rating scale) because relative measures:,C. are less susceptible to some rater biases.,"EPPP-P1-ORG-Job Analysis and Performance Assessment--030 Answer C is correct. An advantage of relative job performance measures is that they reduce leniency, strictness, and central tendency rater biases.",ORG,Job Analysis and Performance Assessment-,"An advantage of relative job performance measures is that they reduce leniency, strictness, and central tendency rater biases.",030,"An advantage of relative job performance measures is that they reduce leniency, strictness, and central tendency rater biases."
Exam 1,Question 25,Which of the following describes the relationship between a test's reliability coefficient and its criterion-related validity coefficient?,B. A test's criterion-related validity coefficient can be no greater than the square root of its reliability coefficient.,"EPPP-P1-TES-Test Validity - Criterion-Related Validity-106 Answer B is correct. A test's criterion-related validity coefficient can be no greater than the square root of its reliability coefficient. For example, if a test has a reliability coefficient of .81, its criterion-related validity coefficient can be no greater than the square root of .81, which is .90.",TES,Test Validity - Criterion-Related Validity,"A test's criterion-related validity coefficient can be no greater than the square root of its reliability coefficient. For example, if a test has a reliability coefficient of .81, its criterion-related validity coefficient can be no greater than the square root of .81, which is .90.",106,A test's criterion-related validity coefficient can be no greater than the square root of its reliability coefficient.
Exam 1,Question 26,"When using the Mini Mental State Exam (MMSE) as a screening tool for cognitive impairment in older adults, it's important to keep in mind that use of the standard cutoff score for African American and Latino patients may result in too many ____________ and that __________ the cutoff score for these individuals reduces this problem.",A. false positives; lowering,"EPPP-P1-PAS-Clinical Tests-120 Answer A is correct. The studies have found that use of the standard cutoff score (24) on the MMSE with African American and Latino patients results in too many false positives. Scores on the MMSE range from 0 to 30, with lower scores indicating greater cognitive impairment, so lowering the cutoff score for these patients reduces this problem. See, e.g., C. A. Manning and J. K. Ducharme, Dementia syndromes in the older adult, in P. A. Lichtenberg (Ed.), Handbook of assessment in clinical gerontology, pp. 155-178, Academic Press, San Diego, CA, 2010.",PAS,Clinical Tests,"The studies have found that use of the standard cutoff score (24) on the MMSE with African American and Latino patients results in too many false positives. Scores on the MMSE range from 0 to 30, with lower scores indicating greater cognitive impairment, so lowering the cutoff score for these patients reduces this problem. See, e.g., C. A. Manning and J. K. Ducharme, Dementia syndromes in the older adult, in P. A. Lichtenberg (Ed.), Handbook of assessment in clinical gerontology, pp. 155-178, Academic Press, San Diego, CA, 2010.",120,"The studies have found that use of the standard cutoff score (24) on the MMSE with African American and Latino patients results in too many false positives, so lowering the cutoff score for these patients reduces this problem."
Exam 1,Question 27,Privilege refers to:,"D. the legal requirement to protect client confidentiality in court testimony, depositions, and other legal proceedings.",EPPP-P1-ETH-APA Ethics Code Standards 3 & 4-091 Answer D is correct. Privilege is a legal concept that protects a client's confidential information from being disclosed in legal proceedings.,ETH,APA Ethics Code Standards 3 & 4,Privilege is a legal concept that protects a client's confidential information from being disclosed in legal proceedings.,091,Privilege is a legal concept that protects a client's confidential information from being disclosed in legal proceedings.
Exam 1,Question 28,"For a practitioner of Beck's cognitive behavior therapy, the automatic thoughts associated with depression reflect which of the following?","C. negative views of oneself, the world, and the future","EPPP-P1-CLI-Cognitive-Behavioral Therapies-100 Answer C is correct. Beck's (1979) cognitive model of depression describes it as involving a negative cognitive triad that consists of negative views of oneself, the world, and the future.",CLI,Cognitive-Behavioral Therapies,"Beck's (1979) cognitive model of depression describes it as involving a negative cognitive triad that consists of negative views of oneself, the world, and the future.",100,"Beck's cognitive model of depression describes it as involving a negative cognitive triad that consists of negative views of oneself, the world, and the future."
Exam 1,Question 29,The keyword method is most useful for:,C. learning the vocabulary of a second language.,EPPP-P1-LEA-Memory and Forgetting-144 Answer C is correct. The keyword method involves creating an image that links two words or links a word and its definition and is particularly useful for foreign (second) language learning.,LEA,Memory and Forgetting,The keyword method involves creating an image that links two words or links a word and its definition and is particularly useful for foreign (second) language learning.,144,The keyword method is particularly useful for foreign (second) language learning.
Exam 1,Question 30,"Atkinson, Morten, and Sue's (2003) racial/cultural identity development model predicts that an African American client in the ____________ stage will most likely prefer having a White therapist.",D. conformity,"EPPP-P1-CLI-Cross-Cultural Issues - Identity Development Models-221 Answer D is correct. Atkinson, Morten, and Sue's racial/cultural identity development model distinguishes between five stages: conformity, dissonance, resistance and immersion, introspection, and integrative awareness. Minority group members in the conformity stage have negative attitudes toward their own minority group and other minority groups and positive attitudes toward Whites (the dominant group). They view White culture as superior and, with regard to therapy, prefer a White therapist.",CLI,Cross-Cultural Issues - Identity Development Models,"Atkinson, Morten, and Sue's racial/cultural identity development model distinguishes between five stages: conformity, dissonance, resistance and immersion, introspection, and integrative awareness. Minority group members in the conformity stage have negative attitudes toward their own minority group and other minority groups and positive attitudes toward Whites (the dominant group). They view White culture as superior and, with regard to therapy, prefer a White therapist.",221,"Minority group members in the conformity stage of Atkinson, Morten, and Sue's racial/cultural identity development model have negative attitudes toward their own minority group and other minority groups and positive attitudes toward Whites (the dominant group), and they prefer a White therapist."
Exam 1,Question 31,Vicarious liability refers to which of the following?,A. an employer's legal responsibility for the acts of his/her employees,"EPPP-P1-ETH-Professional Issues-043 Answer A is correct. When delegating work to an employee or supervisee, psychologists must be aware that, in certain circumstances, they might have vicarious liability - i.e., they might be legally responsible for the actions of the employee or supervisee.",ETH,Professional Issues,"When delegating work to an employee or supervisee, psychologists must be aware that, in certain circumstances, they might have vicarious liability - i.e., they might be legally responsible for the actions of the employee or supervisee.",043,Vicarious liability refers to an employer's legal responsibility for the acts of his/her employees.
Exam 1,Question 32,"Mark, age 9, is brought to therapy by his parents who say his behavior has gotten ""out of control"" and they don't know why or what to do about it. Mark's parents describe his symptoms and say they started about a year ago. Based on their description, it appears that Mark's symptoms are consistent with a diagnosis of attention-deficit/hyperactivity disorder, predominantly hyperactive/impulsive presentation. To confirm this diagnosis, you will do which of the following?",B. determine if his symptoms occur outside the home,"EPPP-P1-PPA-Neurodevelopmental Disorders-034 Answer B is correct. The DSM-5 diagnosis of ADHD requires the presence of characteristic symptoms in at least two settings (e.g., at home and at school) with an onset before 12 years of age and a duration of at least six months.",PPA,Neurodevelopmental Disorders,"The DSM-5 diagnosis of ADHD requires the presence of characteristic symptoms in at least two settings (e.g., at home and at school) with an onset before 12 years of age and a duration of at least six months.",034,"The DSM-5 diagnosis of ADHD requires the presence of characteristic symptoms in at least two settings (e.g., at home and at school) with an onset before 12 years of age and a duration of at least six months."
Exam 1,Question 33,"When distinguishing between normal (nonpathological) anxiety and generalized anxiety disorder, the presence of which of the following would help confirm the diagnosis of generalized anxiety disorder?",D. The person finds it difficult to control his/her worries.,"EPPP-P1-PPA-Anxiety Disorders and Obsessive-Compulsive Disorder-154 Answer D is correct. According to DSM-5, in contrast to people with nonpathological anxiety, those with generalized anxiety disorder are more likely to experience physical symptoms in conjunction with worrying and to experience worrying as uncontrollable. Worrying about being evaluated by others is characteristic of social anxiety disorder, and worries that take the form of intrusive thoughts and images is characteristic of obsessive-compulsive disorder.",PPA,Anxiety Disorders and Obsessive-Compulsive Disorder,"According to DSM-5, in contrast to people with nonpathological anxiety, those with generalized anxiety disorder are more likely to experience physical symptoms in conjunction with worrying and to experience worrying as uncontrollable. Worrying about being evaluated by others is characteristic of social anxiety disorder, and worries that take the form of intrusive thoughts and images is characteristic of obsessive-compulsive disorder.",154,"According to DSM-5, in contrast to people with nonpathological anxiety, those with generalized anxiety disorder are more likely to experience physical symptoms in conjunction with worrying and to experience worrying as uncontrollable."
Exam 1,Question 34,"Following a presidential election, a person who voted for the winning candidate pays attention to news commentaries that support the new president's actions but ignores commentaries that criticize him. This best illustrates which of the following?",B. confirmation bias,"EPPP-P1-SOC-Social Cognition - Errors, Biases, and Heuristics-014 Answer B is correct. The confirmation bias is the tendency to seek and pay attention to information that confirms our attitudes and beliefs and to ignore information that refutes them.",SOC,"Social Cognition - Errors, Biases, and Heuristics",The confirmation bias is the tendency to seek and pay attention to information that confirms our attitudes and beliefs and to ignore information that refutes them.,014,The confirmation bias is the tendency to seek and pay attention to information that confirms our attitudes and beliefs and to ignore information that refutes them.
